feature,coefficient
night_ratio_baseline_mean_sq,0.44860657338690335
night_ratio_lag1,0.44758587517981313
context_switch_rate_baseline_mean_x_night_ratio_baseline_mean,0.4402377795053186
night_ratio_baseline_mean,0.418703016747759
context_switch_rate_lag2,0.37613361960308545
unlock_count_week_baseline_std,0.37414289089088565
night_ratio_baseline_mean_x_n_sessions_baseline_mean,0.3733970510168657
context_switch_rate_baseline_mean_sq,0.368152327169749
weekend_weekday_delta_pct_baseline_mean,0.36704904625735996
screen_min_education_baseline_std,-0.36208437249382375
unlock_count_week_lag1,0.361584530730345
screen_min_education_baseline_mean,-0.3600970626237597
context_switch_rate_baseline_mean,0.35903215632558266
night_ratio_lag2,0.35309062471492564
screen_min_entertainment_baseline_mean,0.3413005534811281
night_ratio_baseline_mean_x_unlock_count_week_baseline_mean,0.3307698298412175
context_switch_rate_lag1,0.32427235566890744
unlock_count_week_baseline_mean,0.31112629674674547
context_switch_rate_baseline_mean_x_unlock_count_week_baseline_mean,0.30862020986748706
context_switch_rate_baseline_mean_x_n_sessions_baseline_mean,0.3011240686376542
abs_weekend_delta_lag1,0.2951172901584703
unlock_count_week_lag2,0.28110492483075755
n_sessions_baseline_mean,0.27842710136441917
night_ratio_baseline_mean_x_median_session_sec_baseline_mean,0.268119099888116
n_sessions_baseline_std,0.2599439541310094
screen_min_social_baseline_mean,0.2572211413688943
context_switch_rate_baseline_mean_x_mean_session_sec_baseline_mean,-0.25530181280569597
night_ratio_baseline_mean_x_mean_session_sec_baseline_mean,0.2548375284001071
deep_focus_minutes_lag2,-0.2414590305624848
context_switch_rate_baseline_mean_x_deep_focus_minutes_baseline_mean,-0.23783281148961252
unlock_count_week_baseline_mean_x_median_session_sec_baseline_mean,0.23776636418612285
n_sessions_baseline_mean_sq,0.23423046001174036
context_switch_rate_baseline_std,0.22275127070541684
unlock_count_week_baseline_mean_x_n_sessions_baseline_mean,0.21772586743630123
context_switch_rate_baseline_mean_x_deep_focus_block_count_baseline_mean,-0.21595608411219797
screen_min_social_baseline_std,0.21320684506432966
mean_session_sec_baseline_mean,-0.19734668633681204
mean_session_sec_baseline_mean_x_unlock_count_week_baseline_mean,0.192304402239926
screen_min_productivity_baseline_mean,-0.17388594414469827
unlock_count_week_baseline_mean_sq,0.1738136134968608
night_ratio_baseline_mean_x_deep_focus_minutes_baseline_mean,-0.16228101685787438
median_session_sec_baseline_mean,-0.16087211004692858
screen_min_other_baseline_mean,-0.1606965079036449
deep_focus_minutes_baseline_mean,-0.15404454139987955
deep_focus_block_count_baseline_mean,-0.15251112253618287
max_session_sec_baseline_mean,-0.14968638740884044
median_session_sec_baseline_std,0.1472966144543151
n_sessions_baseline_mean_x_deep_focus_minutes_baseline_mean,-0.14679047356577973
unlock_count_week_trend_slope,0.1445184303566057
deep_focus_block_count_baseline_mean_x_deep_focus_minutes_baseline_mean,-0.13417024325549917
context_switch_rate_baseline_mean_x_median_session_sec_baseline_mean,0.1302999439068768
deep_focus_block_count_baseline_mean_sq,-0.12973473761223653
night_ratio_baseline_mean_x_deep_focus_block_count_baseline_mean,-0.12590772561863947
deep_focus_minutes_baseline_mean_sq,-0.12321191301275203
unlock_count_week_baseline_mean_x_deep_focus_minutes_baseline_mean,-0.11906891502076618
abs_weekend_delta_lag2,0.11720117077249428
weekend_weekday_delta_pct_baseline_std,0.11607287229698066
deep_focus_minutes_lag1,-0.10919290174335528
total_screen_min_trend_slope,0.10780579304389315
n_sessions_baseline_mean_x_deep_focus_block_count_baseline_mean,-0.10546452762348088
total_screen_min_baseline_mean,-0.098886958703423
night_ratio_trend_slope,0.09833161211805458
deep_focus_minutes_trend_slope,-0.095120909188456
mean_session_sec_baseline_mean_x_deep_focus_block_count_baseline_mean,-0.09471560505381345
mean_session_sec_baseline_mean_x_n_sessions_baseline_mean,-0.0902717761460167
total_screen_min_baseline_std,-0.08972914850825249
mean_session_sec_baseline_mean_sq,-0.08933824837902629
mean_session_sec_baseline_mean_x_deep_focus_minutes_baseline_mean,-0.0841278379047561
context_switch_rate_trend_slope,-0.08398645203670262
screen_min_other_baseline_std,-0.07674385712814832
mean_session_sec_baseline_mean_x_median_session_sec_baseline_mean,-0.0750523515823562
screen_min_entertainment_baseline_std,-0.06960980733646559
unlock_count_week_baseline_mean_x_deep_focus_block_count_baseline_mean,-0.06280927405573784
median_session_sec_baseline_mean_x_deep_focus_minutes_baseline_mean,-0.06039688882411898
median_session_sec_baseline_mean_x_deep_focus_block_count_baseline_mean,-0.053535764871532596
deep_focus_block_count_baseline_std,-0.05237250642528917
median_session_sec_baseline_mean_sq,-0.04327854610046708
mean_session_sec_baseline_std,0.04146618321465645
screen_min_productivity_baseline_std,0.04100347221995096
deep_focus_minutes_baseline_std,-0.03149069049846841
median_session_sec_baseline_mean_x_n_sessions_baseline_mean,0.019737783104588916
max_session_sec_baseline_std,-0.016081176832860367
night_ratio_baseline_std,-0.011930742871280112
